situation_professionnelle,duree_emploie,revenu_mensuel,secteur_activite,type_contrat,score_professionnelle
retraite,38.0,438517,education,freelance,90
employe,17.0,3946259,sante,stage,90
etudiant,0.0,324519,education,stage,89
employe,39.0,2604192,commerce,cdi,90
etudiant,0.0,308319,education,stage,56
etudiant,4.0,287156,education,stage,56
independant,12.0,1361163,services,cdi,90
sans_emploi,,0,,,84
sans_emploi,,0,,,74
independant,34.0,3088511,services,cdi,90
etudiant,0.0,207735,education,stage,75
retraite,40.0,880869,education,freelance,84
independant,14.0,1066507,informatique,cdi,90
retraite,34.0,907718,education,freelance,87
retraite,32.0,561180,sante,freelance,90
independant,25.0,1761029,sante,temporaire,89
etudiant,3.0,252914,education,stage,69
retraite,40.0,963666,education,freelance,90
employe,20.0,1268302,services,cdi,90
employe,32.0,3598993,industrie,cdi,90
etudiant,1.0,327473,education,stage,70
independant,21.0,1219261,commerce,freelance,90
independant,32.0,1087135,education,temporaire,87
sans_emploi,,0,,,68
etudiant,1.0,264931,education,stage,71
independant,4.0,1473631,agriculture,temporaire,83
retraite,40.0,404171,education,freelance,77
employe,22.0,3523568,autres,cdd,90
independant,27.0,1557460,autres,temporaire,69
employe,20.0,2186331,industrie,cdi,90
independant,19.0,1989704,education,cdd,90
employe,37.0,1709024,agriculture,freelance,90
independant,13.0,1395276,informatique,cdi,90
employe,23.0,1534212,agriculture,stage,90
retraite,38.0,598608,sante,freelance,78
employe,34.0,2167604,services,temporaire,90
independant,31.0,1431908,informatique,temporaire,78
employe,36.0,3817279,industrie,cdd,90
sans_emploi,,0,,,64
sans_emploi,,0,,,57
etudiant,0.0,315727,education,stage,90
employe,21.0,2992026,services,cdd,90
etudiant,1.0,363489,education,stage,74
independant,30.0,3790573,sante,cdd,90
etudiant,5.0,343444,education,stage,61
sans_emploi,,0,,,85
independant,34.0,1508054,commerce,temporaire,90
sans_emploi,,0,,,73
sans_emploi,,0,,,54
sans_emploi,,0,,,46
etudiant,1.0,219289,education,stage,86
retraite,40.0,823562,sante,freelance,90
independant,11.0,1256669,services,cdd,87
employe,29.0,1763362,sante,temporaire,90
retraite,31.0,723092,education,freelance,90
independant,10.0,3401492,industrie,cdd,81
employe,15.0,1910301,sante,cdi,90
independant,36.0,2786771,education,cdi,90
sans_emploi,,0,,,68
employe,7.0,3557833,autres,cdd,90
retraite,29.0,987745,sante,freelance,90
etudiant,5.0,239093,education,stage,60
etudiant,4.0,467741,education,stage,46
sans_emploi,,0,,,90
retraite,28.0,604588,sante,freelance,67
independant,21.0,1279554,industrie,temporaire,85
sans_emploi,,0,,,76
independant,21.0,2053059,autres,cdi,90
retraite,29.0,631367,sante,freelance,78
independant,22.0,1280815,sante,freelance,90
independant,39.0,3249921,commerce,freelance,90
sans_emploi,,0,,,43
retraite,20.0,962425,sante,freelance,90
etudiant,1.0,322793,education,stage,72
etudiant,2.0,276294,education,stage,72
employe,17.0,3197636,sante,stage,90
etudiant,0.0,394162,education,stage,82
employe,2.0,3260096,agriculture,stage,90
retraite,24.0,999415,education,freelance,86
employe,22.0,1332933,autres,cdd,90
retraite,28.0,657586,sante,freelance,85
etudiant,1.0,347539,education,stage,78
independant,30.0,2000982,education,temporaire,87
independant,14.0,3079037,informatique,temporaire,90
retraite,23.0,777903,sante,freelance,90
independant,22.0,1488799,sante,cdi,90
retraite,28.0,619809,sante,freelance,90
independant,16.0,3539584,services,cdd,88
employe,2.0,3264716,sante,cdd,90
retraite,39.0,478009,education,freelance,90
employe,7.0,3419624,commerce,cdd,90
independant,4.0,1861328,autres,temporaire,67
independant,16.0,2801125,agriculture,cdi,86
etudiant,3.0,348996,education,stage,58
sans_emploi,,0,,,72
etudiant,1.0,208153,education,stage,67
sans_emploi,,0,,,61
independant,10.0,1333293,education,freelance,90
sans_emploi,,0,,,65
employe,20.0,3981145,services,freelance,90
etudiant,1.0,239384,education,stage,72
etudiant,3.0,232922,education,stage,66
sans_emploi,,0,,,69
independant,31.0,2167042,autres,cdd,90
independant,6.0,3618712,autres,freelance,90
independant,34.0,1237976,industrie,cdi,90
retraite,39.0,526130,education,freelance,77
retraite,36.0,671160,sante,freelance,90
employe,14.0,2859984,informatique,temporaire,90
sans_emploi,,0,,,82
etudiant,2.0,232552,education,stage,60
employe,15.0,3740604,industrie,cdi,90
independant,9.0,3130811,autres,freelance,90
independant,22.0,2665116,sante,cdi,90
retraite,33.0,536869,education,freelance,90
retraite,34.0,943527,sante,freelance,90
independant,31.0,1518250,agriculture,stage,90
etudiant,4.0,458650,education,stage,48
employe,16.0,2139905,sante,freelance,90
etudiant,3.0,461060,education,stage,78
retraite,22.0,880132,sante,freelance,90
retraite,32.0,717184,education,freelance,90
independant,31.0,2300326,education,freelance,90
sans_emploi,,0,,,71
sans_emploi,,0,,,57
independant,0.0,3066182,commerce,stage,55
independant,39.0,1472960,agriculture,stage,70
etudiant,0.0,495388,education,stage,66
employe,17.0,3844280,services,cdd,90
retraite,38.0,825672,sante,freelance,87
employe,5.0,3608915,informatique,cdi,90
independant,40.0,3014115,education,temporaire,88
independant,3.0,2722021,informatique,temporaire,90
independant,32.0,1235162,education,stage,90
employe,22.0,1589112,industrie,cdd,90
sans_emploi,,0,,,71
independant,3.0,2168075,sante,cdd,75
etudiant,1.0,436398,education,stage,64
retraite,32.0,445726,education,freelance,83
independant,26.0,1469272,agriculture,cdi,90
retraite,38.0,557040,education,freelance,90
independant,29.0,3972561,education,cdi,90
sans_emploi,,0,,,69
sans_emploi,,0,,,70
employe,24.0,2434002,services,cdd,90
etudiant,2.0,373401,education,stage,63
employe,7.0,1238846,agriculture,temporaire,90
sans_emploi,,0,,,78
sans_emploi,,0,,,63
employe,28.0,1986178,sante,temporaire,90
etudiant,1.0,276822,education,stage,58
employe,19.0,3921759,services,freelance,90
etudiant,5.0,338616,education,stage,45
employe,26.0,1509276,education,stage,90
employe,28.0,3003161,informatique,freelance,90
retraite,25.0,881632,sante,freelance,90
sans_emploi,,0,,,78
etudiant,4.0,389453,education,stage,72
employe,7.0,1914799,autres,temporaire,90
employe,40.0,1918908,agriculture,stage,90
employe,32.0,3881750,services,cdi,90
sans_emploi,,0,,,65
independant,13.0,1870114,industrie,freelance,88
sans_emploi,,0,,,85
independant,21.0,2881406,services,cdd,90
sans_emploi,,0,,,88
retraite,27.0,838392,sante,freelance,82
sans_emploi,,0,,,61
etudiant,5.0,436758,education,stage,90
employe,23.0,1595383,industrie,freelance,90
etudiant,3.0,205454,education,stage,63
sans_emploi,,0,,,57
sans_emploi,,0,,,65
employe,23.0,1646844,services,stage,90
etudiant,5.0,414592,education,stage,71
retraite,24.0,949191,sante,freelance,73
employe,8.0,2445196,industrie,cdi,90
independant,5.0,2397749,services,temporaire,79
etudiant,1.0,374562,education,stage,65
retraite,38.0,594032,sante,freelance,90
independant,25.0,2471138,informatique,temporaire,90
employe,37.0,2437695,services,freelance,90
employe,39.0,3225002,autres,freelance,90
etudiant,3.0,331959,education,stage,56
employe,24.0,3170406,education,cdi,90
etudiant,4.0,206391,education,stage,88
retraite,27.0,770537,education,freelance,64
sans_emploi,,0,,,71
etudiant,4.0,263317,education,stage,78
retraite,21.0,514443,sante,freelance,89
sans_emploi,,0,,,62
independant,36.0,2109128,education,cdd,90
independant,15.0,3941583,industrie,temporaire,85
retraite,32.0,555841,education,freelance,84
retraite,38.0,891993,education,freelance,90
retraite,31.0,657135,sante,freelance,90
etudiant,5.0,387396,education,stage,67
retraite,29.0,774598,education,freelance,80
etudiant,1.0,208411,education,stage,68
employe,15.0,1551363,services,stage,90
independant,17.0,2818289,commerce,stage,90
etudiant,3.0,429860,education,stage,81
retraite,39.0,788998,education,freelance,90
sans_emploi,,0,,,69
employe,14.0,1042458,sante,temporaire,90
retraite,30.0,810591,sante,freelance,90
retraite,22.0,633477,sante,freelance,84
etudiant,2.0,212350,education,stage,71
etudiant,3.0,309933,education,stage,84
employe,20.0,1204610,services,freelance,90
retraite,25.0,781852,sante,freelance,90
independant,1.0,3932772,education,cdi,90
independant,15.0,2902651,industrie,temporaire,74
retraite,28.0,527867,education,freelance,90
etudiant,4.0,326662,education,stage,68
etudiant,3.0,220429,education,stage,72
employe,2.0,3461452,education,temporaire,90
retraite,27.0,418302,sante,freelance,90
independant,21.0,2743674,informatique,temporaire,90
retraite,23.0,412228,sante,freelance,80
independant,3.0,1507454,agriculture,freelance,89
sans_emploi,,0,,,63
sans_emploi,,0,,,77
independant,17.0,1401552,education,stage,90
sans_emploi,,0,,,84
retraite,36.0,752176,sante,freelance,90
retraite,31.0,841047,sante,freelance,76
independant,11.0,2415853,agriculture,temporaire,90
sans_emploi,,0,,,80
employe,10.0,3339793,industrie,freelance,90
sans_emploi,,0,,,78
retraite,25.0,473806,sante,freelance,88
employe,16.0,3420535,commerce,temporaire,90
independant,16.0,3052345,sante,temporaire,79
independant,26.0,3153257,informatique,cdd,90
employe,28.0,1213340,sante,cdd,90
independant,10.0,2447768,education,stage,85
retraite,22.0,554305,sante,freelance,90
independant,19.0,1758125,autres,stage,82
employe,31.0,2336914,sante,cdi,90
employe,3.0,1940752,informatique,cdi,90
sans_emploi,,0,,,77
independant,26.0,2487328,sante,stage,90
etudiant,3.0,231800,education,stage,67
employe,31.0,2144636,education,temporaire,90
sans_emploi,,0,,,81
etudiant,1.0,233670,education,stage,66
employe,12.0,2775759,services,cdd,90
sans_emploi,,0,,,71
independant,17.0,2004998,autres,cdi,90
sans_emploi,,0,,,81
etudiant,1.0,491650,education,stage,90
employe,5.0,3558483,agriculture,cdd,90
etudiant,3.0,441457,education,stage,79
etudiant,5.0,427049,education,stage,74
employe,21.0,3099386,services,cdd,90
etudiant,4.0,462352,education,stage,75
sans_emploi,,0,,,66
sans_emploi,,0,,,68
independant,30.0,1107363,education,freelance,90
etudiant,4.0,286879,education,stage,72
etudiant,5.0,395482,education,stage,78
independant,2.0,3898581,education,stage,81
etudiant,3.0,238088,education,stage,83
etudiant,5.0,221009,education,stage,73
retraite,28.0,897117,sante,freelance,90
retraite,27.0,649524,education,freelance,90
retraite,27.0,788781,education,freelance,90
etudiant,3.0,368335,education,stage,61
etudiant,1.0,455495,education,stage,85
employe,14.0,2008516,industrie,cdi,90
employe,12.0,3435541,agriculture,freelance,90
retraite,26.0,559164,sante,freelance,87
sans_emploi,,0,,,89
retraite,20.0,626710,education,freelance,90
sans_emploi,,0,,,81
sans_emploi,,0,,,69
retraite,31.0,520333,education,freelance,90
etudiant,1.0,314565,education,stage,89
employe,30.0,3354553,agriculture,freelance,90
employe,6.0,3405084,industrie,cdd,90
retraite,34.0,425983,education,freelance,90
retraite,37.0,994979,sante,freelance,90
etudiant,5.0,233535,education,stage,65
etudiant,0.0,217413,education,stage,55
etudiant,1.0,332905,education,stage,73
independant,37.0,1419981,industrie,stage,90
sans_emploi,,0,,,90
etudiant,1.0,459473,education,stage,69
sans_emploi,,0,,,76
etudiant,4.0,471892,education,stage,68
retraite,28.0,558261,education,freelance,90
independant,2.0,2123829,sante,cdd,85
independant,38.0,1840643,education,cdd,90
independant,8.0,3040536,sante,stage,90
retraite,33.0,480926,education,freelance,90
sans_emploi,,0,,,81
sans_emploi,,0,,,58
etudiant,1.0,471107,education,stage,57
retraite,23.0,800767,education,freelance,90
retraite,27.0,514998,sante,freelance,76
sans_emploi,,0,,,71
independant,32.0,2833873,industrie,stage,90
etudiant,4.0,399940,education,stage,58
employe,37.0,1289131,autres,temporaire,90
sans_emploi,,0,,,74
retraite,31.0,836919,sante,freelance,85
independant,6.0,1313199,informatique,cdi,90
sans_emploi,,0,,,87
retraite,20.0,907397,sante,freelance,90
independant,38.0,2625343,commerce,freelance,90
independant,26.0,2420921,agriculture,freelance,90
independant,6.0,2189321,sante,temporaire,90
employe,2.0,1727822,informatique,cdd,90
retraite,25.0,976396,education,freelance,90
sans_emploi,,0,,,63
retraite,25.0,688229,sante,freelance,90
retraite,21.0,705988,sante,freelance,90
employe,18.0,1862873,autres,temporaire,90
employe,16.0,3359732,agriculture,freelance,90
employe,16.0,2857625,agriculture,cdi,90
sans_emploi,,0,,,62
sans_emploi,,0,,,67
retraite,27.0,784871,education,freelance,77
retraite,29.0,672813,education,freelance,89
sans_emploi,,0,,,70
sans_emploi,,0,,,87
etudiant,3.0,223754,education,stage,60
independant,36.0,3012409,industrie,cdd,90
employe,18.0,3375789,agriculture,cdd,90
independant,0.0,2420217,industrie,stage,65
retraite,25.0,776904,education,freelance,90
independant,34.0,1293159,education,cdi,90
sans_emploi,,0,,,90
retraite,36.0,579655,education,freelance,90
independant,33.0,2076367,sante,cdd,90
retraite,20.0,612061,sante,freelance,90
retraite,38.0,842141,sante,freelance,87
etudiant,5.0,332442,education,stage,72
retraite,27.0,748067,education,freelance,90
independant,18.0,3190906,informatique,temporaire,90
retraite,37.0,723987,sante,freelance,90
independant,12.0,2712910,autres,temporaire,74
retraite,29.0,606526,education,freelance,90
independant,38.0,3741110,commerce,cdd,88
employe,23.0,1210308,education,freelance,90
independant,33.0,1646531,sante,freelance,90
independant,29.0,1675061,agriculture,cdi,90
etudiant,5.0,419576,education,stage,57
sans_emploi,,0,,,69
employe,3.0,1636314,informatique,temporaire,90
independant,14.0,2726107,industrie,freelance,90
sans_emploi,,0,,,78
independant,38.0,1615845,autres,cdi,90
retraite,20.0,804373,sante,freelance,87
sans_emploi,,0,,,78
etudiant,5.0,327421,education,stage,76
etudiant,3.0,352096,education,stage,69
independant,33.0,2903391,education,temporaire,86
retraite,38.0,738422,education,freelance,74
employe,33.0,1940754,sante,cdd,90
independant,1.0,3819946,agriculture,cdi,73
independant,8.0,3488332,education,stage,90
etudiant,0.0,251931,education,stage,75
retraite,33.0,604393,education,freelance,90
etudiant,0.0,485777,education,stage,90
employe,35.0,2074005,services,stage,90
retraite,22.0,667206,sante,freelance,90
etudiant,5.0,249067,education,stage,61
independant,7.0,2709016,education,temporaire,89
retraite,33.0,500814,education,freelance,90
retraite,32.0,661897,sante,freelance,90
etudiant,3.0,241562,education,stage,70
retraite,35.0,871947,education,freelance,78
independant,28.0,3111820,industrie,freelance,90
sans_emploi,,0,,,68
sans_emploi,,0,,,73
retraite,29.0,743395,sante,freelance,90
sans_emploi,,0,,,64
sans_emploi,,0,,,68
employe,40.0,3025280,autres,freelance,90
independant,21.0,1512098,sante,temporaire,90
employe,4.0,3234468,services,cdi,90
employe,5.0,3571795,autres,stage,90
etudiant,3.0,224507,education,stage,60
etudiant,3.0,246729,education,stage,82
employe,38.0,2401644,commerce,freelance,90
employe,9.0,2794968,informatique,freelance,90
employe,5.0,3009344,industrie,cdi,90
sans_emploi,,0,,,57
retraite,36.0,765718,sante,freelance,85
sans_emploi,,0,,,60
sans_emploi,,0,,,69
employe,32.0,2058661,industrie,cdd,90
sans_emploi,,0,,,82
etudiant,1.0,384583,education,stage,52
employe,33.0,3092908,sante,cdi,90
sans_emploi,,0,,,66
retraite,37.0,549300,education,freelance,83
retraite,32.0,956825,education,freelance,83
independant,8.0,1327601,education,cdd,90
sans_emploi,,0,,,65
retraite,24.0,717462,sante,freelance,90
sans_emploi,,0,,,86
retraite,40.0,999706,education,freelance,90
independant,3.0,3700724,agriculture,temporaire,79
etudiant,0.0,369809,education,stage,79
etudiant,1.0,293582,education,stage,59
etudiant,2.0,499588,education,stage,72
independant,0.0,2540707,agriculture,cdi,90
employe,3.0,3823865,sante,cdi,90
retraite,35.0,644587,sante,freelance,88
sans_emploi,,0,,,69
employe,33.0,3088115,agriculture,cdd,90
etudiant,1.0,224344,education,stage,65
etudiant,5.0,238093,education,stage,74
employe,17.0,3570694,autres,cdi,90
independant,20.0,3448620,autres,cdd,90
independant,27.0,2205992,informatique,stage,90
etudiant,0.0,434742,education,stage,77
retraite,36.0,756096,education,freelance,90
independant,8.0,2135561,commerce,cdi,90
etudiant,5.0,414657,education,stage,82
etudiant,4.0,401753,education,stage,53
retraite,33.0,514730,education,freelance,90
retraite,22.0,494651,sante,freelance,86
employe,19.0,3659888,informatique,cdi,90
employe,23.0,1053847,industrie,cdi,90
employe,38.0,3409779,autres,cdd,90
etudiant,2.0,377842,education,stage,55
retraite,36.0,678891,sante,freelance,90
independant,13.0,3971700,services,temporaire,90
sans_emploi,,0,,,76
sans_emploi,,0,,,53
sans_emploi,,0,,,74
independant,32.0,3629330,informatique,freelance,90
sans_emploi,,0,,,67
independant,28.0,2965852,agriculture,temporaire,77
sans_emploi,,0,,,90
employe,29.0,1152664,informatique,cdd,90
independant,34.0,2816621,industrie,freelance,90
independant,26.0,2762300,services,temporaire,90
sans_emploi,,0,,,76
sans_emploi,,0,,,57
etudiant,3.0,375309,education,stage,57
retraite,39.0,519623,sante,freelance,90
independant,14.0,2052313,sante,cdi,90
independant,22.0,3731183,agriculture,cdd,90
employe,33.0,1642337,agriculture,stage,90
sans_emploi,,0,,,48
retraite,30.0,791878,education,freelance,90
retraite,32.0,958373,sante,freelance,90
independant,30.0,3074026,sante,temporaire,90
retraite,22.0,593241,education,freelance,89
employe,9.0,2256036,education,freelance,90
independant,4.0,3761619,industrie,freelance,82
independant,8.0,2658272,agriculture,cdi,90
employe,13.0,1068978,education,cdi,90
sans_emploi,,0,,,84
independant,29.0,3071355,commerce,stage,90
etudiant,2.0,363938,education,stage,86
employe,6.0,1749001,commerce,temporaire,90
etudiant,3.0,383829,education,stage,82
retraite,35.0,531053,sante,freelance,87
sans_emploi,,0,,,56
independant,33.0,2371510,commerce,freelance,90
etudiant,2.0,374958,education,stage,68
employe,11.0,2344781,education,cdd,90
retraite,34.0,927245,sante,freelance,85
sans_emploi,,0,,,78
employe,16.0,2297163,agriculture,cdi,90
employe,0.0,3058824,autres,stage,80
etudiant,4.0,236266,education,stage,86
employe,23.0,2504994,agriculture,freelance,90
etudiant,4.0,443304,education,stage,81
etudiant,3.0,406029,education,stage,53
etudiant,1.0,406209,education,stage,80
independant,15.0,2485973,agriculture,cdi,90
sans_emploi,,0,,,56
independant,18.0,1941473,informatique,stage,90
etudiant,4.0,229308,education,stage,64
sans_emploi,,0,,,72
etudiant,4.0,444437,education,stage,82
employe,17.0,2248228,agriculture,freelance,90
retraite,40.0,879999,sante,freelance,90
employe,11.0,2414066,commerce,cdi,90
retraite,33.0,956615,sante,freelance,78
sans_emploi,,0,,,80
etudiant,1.0,458986,education,stage,84
etudiant,2.0,264594,education,stage,90
retraite,29.0,714548,sante,freelance,70
retraite,30.0,417760,sante,freelance,90
employe,14.0,1140899,sante,cdd,90
etudiant,3.0,323870,education,stage,61
etudiant,2.0,336605,education,stage,62
employe,12.0,1514134,education,cdi,90
retraite,39.0,932482,education,freelance,90
sans_emploi,,0,,,68
independant,35.0,3733219,agriculture,temporaire,90
employe,9.0,1946434,informatique,temporaire,90
retraite,34.0,799342,education,freelance,86
employe,4.0,2636944,agriculture,cdi,90
retraite,31.0,523596,education,freelance,90
sans_emploi,,0,,,66
independant,5.0,3584840,industrie,cdi,90
independant,24.0,1825399,services,temporaire,90
sans_emploi,,0,,,83
independant,20.0,3842260,autres,cdd,90
employe,3.0,1446651,education,cdi,90
retraite,28.0,663408,sante,freelance,90
independant,4.0,3669938,education,cdi,90
independant,1.0,1734356,informatique,freelance,90
etudiant,3.0,443643,education,stage,90
employe,36.0,1687297,agriculture,freelance,90
etudiant,4.0,424999,education,stage,62
sans_emploi,,0,,,69
etudiant,5.0,306815,education,stage,77
retraite,28.0,660290,education,freelance,82
sans_emploi,,0,,,78
employe,19.0,1484648,industrie,freelance,90
retraite,38.0,675534,education,freelance,87
independant,17.0,1473141,agriculture,cdi,90
sans_emploi,,0,,,87
employe,37.0,3938726,agriculture,cdd,90
employe,40.0,1302720,informatique,cdi,90
employe,21.0,2267687,commerce,freelance,90
sans_emploi,,0,,,84
retraite,33.0,771314,sante,freelance,88
etudiant,4.0,407319,education,stage,90
employe,8.0,2593023,agriculture,freelance,90
retraite,25.0,568683,education,freelance,90
employe,38.0,2438736,agriculture,cdi,90
etudiant,4.0,220367,education,stage,84
etudiant,5.0,386383,education,stage,61
retraite,30.0,940969,sante,freelance,90
independant,33.0,3544232,commerce,stage,73
retraite,40.0,997689,education,freelance,79
employe,7.0,1504223,autres,freelance,90
etudiant,3.0,387174,education,stage,66
employe,30.0,1767728,agriculture,cdi,90
employe,27.0,3211787,industrie,cdi,90
independant,16.0,1572777,autres,cdd,90
sans_emploi,,0,,,77
independant,9.0,3102735,education,freelance,90
etudiant,1.0,299435,education,stage,64
etudiant,3.0,239453,education,stage,78
independant,11.0,2525105,education,cdd,90
independant,7.0,1084832,commerce,cdd,90
retraite,21.0,455167,sante,freelance,90
employe,18.0,3763369,commerce,stage,90
employe,11.0,2057077,commerce,cdd,90
retraite,24.0,910506,education,freelance,90
etudiant,4.0,343631,education,stage,57
independant,5.0,3793406,commerce,cdd,82
employe,10.0,3595045,education,cdi,90
sans_emploi,,0,,,61
employe,23.0,2929403,industrie,cdi,90
employe,11.0,3914327,education,cdi,90
employe,5.0,2348217,services,temporaire,90
etudiant,1.0,373418,education,stage,82
sans_emploi,,0,,,70
retraite,24.0,433432,sante,freelance,90
retraite,23.0,596581,sante,freelance,90
etudiant,1.0,446028,education,stage,51
retraite,29.0,632524,sante,freelance,81
employe,28.0,1948229,industrie,cdi,90
sans_emploi,,0,,,77
independant,29.0,1533788,industrie,cdd,90
retraite,27.0,477039,education,freelance,90
employe,26.0,3239055,education,cdd,90
employe,0.0,1475314,education,stage,90
sans_emploi,,0,,,70
etudiant,4.0,497389,education,stage,49
etudiant,3.0,239079,education,stage,90
sans_emploi,,0,,,71
employe,35.0,1157766,industrie,temporaire,90
sans_emploi,,0,,,85
retraite,21.0,562696,education,freelance,89
retraite,29.0,584731,education,freelance,90
employe,39.0,1939289,agriculture,cdi,90
retraite,20.0,781467,sante,freelance,90
employe,3.0,2749567,services,freelance,90
sans_emploi,,0,,,55
employe,35.0,2359547,industrie,temporaire,90
etudiant,4.0,383279,education,stage,90
employe,22.0,3044104,agriculture,freelance,90
retraite,27.0,584800,sante,freelance,90
retraite,20.0,837300,education,freelance,90
independant,39.0,3607460,sante,freelance,88
etudiant,1.0,442168,education,stage,73
sans_emploi,,0,,,77
retraite,26.0,995681,sante,freelance,89
retraite,21.0,912677,education,freelance,90
employe,35.0,1960497,education,cdd,90
retraite,24.0,946915,sante,freelance,79
employe,31.0,3658170,agriculture,cdi,90
retraite,25.0,677221,sante,freelance,90
independant,8.0,3408258,services,cdd,90
etudiant,1.0,349623,education,stage,82
etudiant,0.0,478939,education,stage,59
etudiant,3.0,271305,education,stage,80
independant,13.0,2982949,industrie,stage,90
independant,10.0,3128440,sante,cdi,90
retraite,20.0,856084,sante,freelance,90
retraite,23.0,626491,sante,freelance,90
etudiant,1.0,265419,education,stage,76
independant,0.0,3120653,industrie,cdd,90
etudiant,3.0,288163,education,stage,90
independant,22.0,1544155,industrie,cdi,90
retraite,38.0,510391,sante,freelance,90
employe,10.0,3714987,commerce,freelance,90
independant,18.0,2154025,industrie,freelance,83
employe,24.0,2706551,sante,stage,90
etudiant,3.0,324356,education,stage,79
employe,13.0,3840550,agriculture,temporaire,90
employe,28.0,3004058,informatique,cdd,90
independant,34.0,2192069,commerce,freelance,90
employe,6.0,1775597,autres,freelance,90
independant,38.0,2568657,agriculture,cdd,90
independant,17.0,2956924,services,cdi,90
independant,37.0,1943120,industrie,freelance,90
etudiant,1.0,218915,education,stage,64
independant,4.0,3979390,autres,stage,90
etudiant,5.0,300692,education,stage,66
retraite,32.0,733796,education,freelance,69
retraite,30.0,610774,education,freelance,90
independant,19.0,3708836,autres,freelance,90
retraite,26.0,624010,sante,freelance,90
employe,29.0,3946116,autres,temporaire,90
etudiant,3.0,406340,education,stage,73
etudiant,2.0,266066,education,stage,81
independant,18.0,2331401,services,temporaire,90
independant,37.0,2318875,informatique,temporaire,90
employe,19.0,2784247,informatique,cdi,90
etudiant,1.0,307903,education,stage,77
employe,25.0,1175174,industrie,cdd,90
sans_emploi,,0,,,68
employe,40.0,3719660,education,temporaire,90
sans_emploi,,0,,,75
etudiant,5.0,288888,education,stage,58
employe,14.0,2139165,sante,temporaire,90
retraite,27.0,935352,sante,freelance,89
independant,30.0,1961923,autres,freelance,90
employe,5.0,2622744,sante,freelance,90
retraite,24.0,902036,sante,freelance,90
independant,2.0,1014673,education,temporaire,90
retraite,37.0,795613,sante,freelance,90
employe,31.0,3800732,education,freelance,90
retraite,32.0,725863,education,freelance,88
employe,39.0,3119002,agriculture,temporaire,90
retraite,29.0,723776,education,freelance,90
etudiant,3.0,305931,education,stage,62
employe,15.0,3394623,services,freelance,90
employe,32.0,3080244,autres,temporaire,90
independant,24.0,1496301,agriculture,temporaire,90
etudiant,3.0,274488,education,stage,63
sans_emploi,,0,,,84
sans_emploi,,0,,,79
sans_emploi,,0,,,78
etudiant,5.0,247107,education,stage,90
sans_emploi,,0,,,66
employe,15.0,1342934,services,stage,90
retraite,30.0,938509,sante,freelance,85
retraite,30.0,482992,sante,freelance,90
retraite,25.0,877915,sante,freelance,90
independant,7.0,1160070,education,temporaire,85
etudiant,1.0,441042,education,stage,79
sans_emploi,,0,,,86
independant,24.0,2271199,industrie,cdi,90
etudiant,0.0,497270,education,stage,63
etudiant,4.0,327259,education,stage,84
retraite,25.0,721898,sante,freelance,90
independant,22.0,1006220,agriculture,stage,90
sans_emploi,,0,,,63
independant,18.0,1406414,industrie,freelance,90
etudiant,5.0,306552,education,stage,84
etudiant,5.0,407270,education,stage,71
etudiant,4.0,463515,education,stage,69
independant,39.0,1865236,agriculture,temporaire,89
independant,9.0,1228441,autres,stage,81
sans_emploi,,0,,,79
etudiant,0.0,243424,education,stage,62
etudiant,5.0,436435,education,stage,71
retraite,40.0,784575,education,freelance,83
sans_emploi,,0,,,73
employe,12.0,1559347,informatique,cdd,90
retraite,30.0,561611,sante,freelance,90
employe,26.0,2053491,services,freelance,90
etudiant,4.0,342675,education,stage,75
etudiant,4.0,470983,education,stage,60
employe,7.0,2484241,industrie,temporaire,90
independant,3.0,3708558,autres,stage,67
retraite,32.0,709559,education,freelance,90
independant,27.0,2724046,industrie,cdd,90
retraite,22.0,728079,sante,freelance,84
etudiant,0.0,255625,education,stage,85
sans_emploi,,0,,,75
independant,24.0,1760862,autres,temporaire,82
independant,8.0,1305121,industrie,temporaire,90
sans_emploi,,0,,,65
employe,40.0,2140891,agriculture,freelance,90
sans_emploi,,0,,,74
retraite,34.0,880165,education,freelance,90
independant,29.0,2901058,sante,cdi,90
employe,2.0,2167944,autres,cdi,90
independant,14.0,1314557,informatique,temporaire,90
employe,23.0,2770500,services,freelance,90
independant,25.0,2646511,industrie,cdd,90
employe,7.0,3231630,education,temporaire,90
retraite,37.0,918365,sante,freelance,86
etudiant,4.0,255787,education,stage,77
sans_emploi,,0,,,43
sans_emploi,,0,,,90
employe,9.0,2410059,industrie,freelance,90
sans_emploi,,0,,,82
independant,24.0,2071864,industrie,freelance,90
sans_emploi,,0,,,67
sans_emploi,,0,,,69
independant,12.0,1698848,agriculture,temporaire,90
independant,10.0,2327551,agriculture,cdi,90
etudiant,3.0,246746,education,stage,76
retraite,26.0,852242,education,freelance,90
independant,40.0,3064496,services,temporaire,86
employe,2.0,2487434,services,temporaire,90
retraite,30.0,811242,sante,freelance,90
retraite,36.0,941984,education,freelance,81
independant,37.0,1964762,agriculture,cdi,90
independant,24.0,2665056,autres,stage,90
etudiant,3.0,323452,education,stage,90
independant,6.0,1015243,commerce,freelance,90
etudiant,5.0,329674,education,stage,74
independant,20.0,3785068,sante,stage,76
sans_emploi,,0,,,73
etudiant,2.0,474384,education,stage,90
etudiant,5.0,314326,education,stage,84
retraite,35.0,917427,sante,freelance,90
etudiant,5.0,429715,education,stage,74
retraite,29.0,688158,education,freelance,90
