statut_familial,nbr_dependant,date_naissance,score_familial
Veuf/Veuve,3,1971-02-08,79
Marié(e),5,1981-01-09,79
Célibataire,0,1957-02-11,67
Célibataire,5,1973-07-25,69
Veuf/Veuve,3,1959-01-17,75
Divorcé(e),4,1974-01-05,60
Marié(e),5,1980-03-25,80
Célibataire,2,1981-11-26,68
Divorcé(e),0,1965-03-06,65
Divorcé(e),2,1990-06-30,64
Célibataire,1,1972-05-15,65
Divorcé(e),5,1997-12-12,62
Célibataire,5,1967-02-22,67
Marié(e),5,1996-04-15,71
Divorcé(e),3,1992-02-07,55
Divorcé(e),4,1983-04-09,64
Célibataire,1,1984-09-21,65
Célibataire,1,1980-02-16,60
Divorcé(e),3,2002-11-24,57
Veuf/Veuve,1,1965-06-12,74
Divorcé(e),5,1957-10-20,62
Veuf/Veuve,0,1999-07-23,73
Divorcé(e),3,1982-02-11,61
Divorcé(e),1,1965-01-12,62
Célibataire,1,1963-04-10,67
Célibataire,3,1999-10-29,72
Marié(e),2,1998-05-04,73
Divorcé(e),2,1967-10-27,60
Marié(e),1,1958-03-30,83
Veuf/Veuve,5,2001-10-29,71
Célibataire,2,1958-11-30,70
Célibataire,2,1996-11-06,70
Célibataire,4,1982-12-31,60
Divorcé(e),5,1973-10-16,62
Marié(e),1,1980-09-03,82
Divorcé(e),3,1965-07-09,62
Marié(e),1,1979-07-07,80
Célibataire,4,2001-01-30,71
Marié(e),4,1986-05-24,72
Divorcé(e),2,1967-08-31,65
Divorcé(e),4,1976-12-05,61
Célibataire,2,1985-05-09,68
Veuf/Veuve,0,1966-08-20,70
Veuf/Veuve,5,1959-06-29,71
Veuf/Veuve,0,1962-09-09,76
Veuf/Veuve,1,1994-12-18,79
Divorcé(e),2,1984-10-11,58
Célibataire,3,1966-10-15,61
Veuf/Veuve,0,1995-11-02,74
Veuf/Veuve,3,1975-10-02,73
Marié(e),4,1978-02-11,81
Veuf/Veuve,1,1984-08-07,75
Veuf/Veuve,3,1957-09-05,71
Veuf/Veuve,0,1986-06-30,77
Veuf/Veuve,1,1980-04-15,75
Marié(e),4,1964-03-13,82
Célibataire,2,1961-04-30,64
Veuf/Veuve,3,1992-01-21,73
Marié(e),4,1969-03-25,82
Veuf/Veuve,0,1985-07-13,73
Veuf/Veuve,3,1985-08-31,78
Marié(e),1,1961-12-14,85
Veuf/Veuve,0,1996-06-29,75
Célibataire,3,1970-10-08,64
Veuf/Veuve,0,1964-09-20,80
Veuf/Veuve,2,1999-04-24,80
Célibataire,0,1974-06-27,62
Célibataire,1,1968-05-08,67
Divorcé(e),3,1995-01-30,58
Marié(e),5,1983-05-15,80
Divorcé(e),3,1985-11-06,56
Célibataire,4,2000-10-03,76
Marié(e),2,1960-07-25,82
Célibataire,0,1987-03-12,61
Divorcé(e),0,1976-01-26,63
Veuf/Veuve,5,1983-07-04,76
Veuf/Veuve,3,1994-01-03,78
Marié(e),5,1970-07-10,81
Marié(e),1,1989-06-20,70
Veuf/Veuve,1,1980-11-04,80
Marié(e),1,1956-01-03,80
Célibataire,1,1998-08-18,80
Veuf/Veuve,1,1962-07-24,72
Veuf/Veuve,3,1993-02-26,79
Marié(e),3,2000-08-31,71
Veuf/Veuve,3,1986-11-03,73
Marié(e),3,1955-08-19,84
Veuf/Veuve,5,1976-03-15,78
Divorcé(e),3,1987-11-20,55
Célibataire,4,1998-04-27,75
Célibataire,4,1998-03-01,71
Marié(e),5,2002-03-11,67
Veuf/Veuve,4,1961-12-25,78
Célibataire,1,1997-05-08,80
Célibataire,5,2003-05-04,79
Divorcé(e),4,1959-09-13,62
Célibataire,3,1995-09-12,78
Veuf/Veuve,4,1984-09-15,76
Divorcé(e),2,1980-11-28,61
Célibataire,5,1982-03-30,69
Divorcé(e),0,1997-05-31,64
Marié(e),4,1959-08-06,84
Divorcé(e),5,1957-05-31,62
Veuf/Veuve,0,1966-05-05,78
Célibataire,2,1977-07-30,62
Divorcé(e),2,1978-01-06,60
Célibataire,4,1970-08-18,69
Marié(e),5,1995-01-13,68
Marié(e),2,1976-02-26,83
Marié(e),4,1957-12-07,81
Célibataire,1,1968-10-17,67
Veuf/Veuve,3,1976-04-24,80
Veuf/Veuve,5,1969-12-21,73
Divorcé(e),0,1978-09-07,60
Célibataire,1,1996-08-04,76
Veuf/Veuve,2,1997-09-10,78
Marié(e),3,1989-12-16,72
Divorcé(e),1,2002-07-21,61
Célibataire,2,1995-03-25,76
Divorcé(e),4,1958-08-24,60
Divorcé(e),3,1979-06-03,62
Divorcé(e),2,1963-10-13,62
Veuf/Veuve,3,1976-08-28,80
Marié(e),4,1985-03-27,74
Marié(e),2,1955-11-30,85
Célibataire,0,1956-01-14,66
Célibataire,4,1964-04-14,70
Veuf/Veuve,2,1974-08-25,74
Divorcé(e),1,1958-01-07,60
Célibataire,0,1974-06-01,69
Célibataire,5,1965-09-23,61
Marié(e),3,1971-07-17,80
Marié(e),2,1981-05-23,83
Célibataire,5,1995-08-24,74
Veuf/Veuve,5,1983-12-24,74
Marié(e),0,1979-11-04,80
Veuf/Veuve,3,1984-10-22,70
Divorcé(e),2,1970-12-05,63
Célibataire,3,1972-12-19,69
Veuf/Veuve,1,1999-02-09,71
Marié(e),4,1993-08-27,67
Célibataire,3,1978-03-14,61
Célibataire,0,1961-04-13,69
Divorcé(e),3,1956-08-24,63
Marié(e),5,1955-01-16,78
Veuf/Veuve,2,1968-07-25,75
Veuf/Veuve,4,1955-04-19,78
Veuf/Veuve,3,1994-01-31,76
Célibataire,4,1975-03-24,60
Veuf/Veuve,5,1998-03-19,71
Divorcé(e),2,1982-02-18,63
Célibataire,5,1963-02-05,65
Divorcé(e),0,1996-03-14,59
Marié(e),1,1958-06-29,83
Marié(e),2,1989-12-17,66
Divorcé(e),3,1962-07-30,65
Veuf/Veuve,5,1971-12-18,72
Célibataire,1,1957-03-29,69
Marié(e),3,1989-11-04,66
Divorcé(e),3,2002-11-13,62
Célibataire,0,1985-05-27,60
Divorcé(e),5,1958-10-21,63
Célibataire,1,2001-11-23,77
Marié(e),5,1975-11-13,78
Célibataire,5,1967-09-01,67
Célibataire,3,1959-01-27,63
Marié(e),0,1970-06-02,85
Célibataire,2,1963-09-11,67
Marié(e),4,1960-09-13,79
Célibataire,3,1974-10-02,61
Marié(e),3,1985-03-25,75
Veuf/Veuve,2,1965-10-20,80
Marié(e),2,1974-02-04,80
Marié(e),2,1960-08-20,80
Divorcé(e),1,1992-03-17,57
Divorcé(e),4,1969-10-07,63
Marié(e),4,1958-08-13,80
Célibataire,5,1988-09-16,62
Célibataire,3,1962-03-17,60
Célibataire,1,1962-12-17,70
Divorcé(e),3,1997-09-01,57
Marié(e),1,1979-04-10,84
Veuf/Veuve,3,1976-06-05,72
Célibataire,4,1971-02-11,67
Célibataire,5,1981-12-26,65
Veuf/Veuve,0,1976-02-08,73
Célibataire,4,1963-07-20,69
Divorcé(e),4,2000-07-01,58
Veuf/Veuve,5,1973-08-20,74
Célibataire,1,1965-01-27,62
Veuf/Veuve,3,1970-10-13,72
Célibataire,0,1987-08-21,64
Marié(e),3,1977-07-08,82
Veuf/Veuve,0,1964-05-01,70
Marié(e),1,1957-07-28,83
Célibataire,0,1976-01-28,67
Divorcé(e),3,1972-10-17,65
Divorcé(e),1,1964-11-04,62
Marié(e),0,1976-03-27,85
Veuf/Veuve,1,1988-08-27,73
Célibataire,3,1998-06-04,70
Veuf/Veuve,1,1974-05-11,79
Veuf/Veuve,1,1989-09-18,75
Marié(e),3,1972-05-20,85
Divorcé(e),2,1973-02-08,62
Marié(e),0,1960-04-25,82
Marié(e),0,1996-09-23,72
Veuf/Veuve,1,1985-10-15,73
Divorcé(e),4,1969-01-11,65
Marié(e),4,1975-07-28,79
Veuf/Veuve,4,1998-11-08,73
Veuf/Veuve,3,1980-01-04,70
Veuf/Veuve,5,1977-02-03,73
Divorcé(e),3,1974-12-01,64
Marié(e),4,1955-06-03,82
Célibataire,0,1997-03-10,78
Célibataire,3,2002-08-12,76
Veuf/Veuve,5,1963-10-04,77
Veuf/Veuve,1,1962-06-02,78
Célibataire,5,1991-06-12,73
Marié(e),2,1981-07-02,81
Célibataire,0,1998-01-03,80
Divorcé(e),1,1996-03-02,64
Célibataire,3,1996-07-27,72
Veuf/Veuve,1,1988-03-12,80
Veuf/Veuve,5,1955-02-01,80
Célibataire,3,1984-10-30,68
Célibataire,2,1993-03-04,74
Marié(e),5,1962-03-24,82
Divorcé(e),5,1959-11-19,64
Divorcé(e),0,1964-12-02,63
Divorcé(e),3,1958-08-19,62
Divorcé(e),1,1960-12-22,64
Marié(e),1,1985-01-04,68
Célibataire,5,1997-11-22,79
Marié(e),5,1975-03-11,80
Divorcé(e),2,2000-02-21,65
Veuf/Veuve,2,1959-11-07,71
Divorcé(e),2,1995-07-21,62
Célibataire,3,2002-09-07,80
Divorcé(e),3,1987-12-29,65
Célibataire,1,1996-01-16,71
Célibataire,3,1971-01-03,64
Célibataire,0,1969-09-30,64
Célibataire,5,1968-03-28,67
Marié(e),1,2001-09-04,75
Célibataire,2,1992-05-02,80
Marié(e),3,1986-01-25,71
Veuf/Veuve,5,1956-11-21,74
Marié(e),0,1956-12-10,81
Divorcé(e),3,1985-09-19,65
Divorcé(e),3,2002-07-12,63
Veuf/Veuve,3,1982-03-31,79
Marié(e),2,1970-05-16,82
Marié(e),3,1988-04-30,69
Célibataire,1,1986-08-24,64
Veuf/Veuve,1,1969-05-22,78
Divorcé(e),1,1970-09-12,65
Marié(e),1,1976-04-22,80
Célibataire,2,1966-04-24,67
Divorcé(e),2,1971-07-08,61
Célibataire,5,1983-05-26,65
Marié(e),2,1995-03-13,73
Marié(e),4,1982-01-07,79
Célibataire,3,1999-10-08,72
Veuf/Veuve,2,1968-12-18,70
Divorcé(e),5,1981-06-24,63
Divorcé(e),4,1968-02-28,64
Veuf/Veuve,2,1965-01-15,77
Célibataire,1,1965-06-13,64
Célibataire,3,1974-09-25,67
Divorcé(e),0,1984-03-30,55
Marié(e),4,2002-03-12,67
Divorcé(e),1,1956-12-26,60
Veuf/Veuve,5,1962-10-21,78
Veuf/Veuve,1,1998-12-19,75
Célibataire,5,1987-05-11,66
Marié(e),5,1993-04-30,68
Veuf/Veuve,2,1956-01-22,74
Divorcé(e),2,1982-08-09,63
Célibataire,1,1994-10-26,76
Veuf/Veuve,2,1969-08-29,76
Veuf/Veuve,1,1962-09-08,72
Marié(e),2,1997-07-18,73
Divorcé(e),0,1988-09-04,56
Célibataire,3,1979-06-27,66
Marié(e),4,1996-06-03,73
Marié(e),1,1971-08-27,83
Divorcé(e),4,1998-12-23,55
Divorcé(e),4,1982-03-25,63
Veuf/Veuve,1,1957-05-16,70
Marié(e),2,1981-11-22,85
Veuf/Veuve,0,1980-10-09,76
Marié(e),3,1976-12-02,80
Célibataire,2,1999-03-14,71
Divorcé(e),4,1998-01-26,64
Veuf/Veuve,2,1997-09-02,71
Divorcé(e),4,1956-07-15,62
Marié(e),4,1960-03-19,80
Divorcé(e),3,1967-02-13,62
Marié(e),0,1979-06-05,82
Veuf/Veuve,5,1986-11-25,70
Divorcé(e),2,2002-06-24,65
Célibataire,4,1972-05-08,70
Marié(e),0,1969-12-16,84
Divorcé(e),2,1981-12-22,62
Divorcé(e),0,2002-11-28,64
Divorcé(e),1,1956-02-14,61
Divorcé(e),2,1998-06-20,61
Divorcé(e),1,1964-02-26,61
Marié(e),4,1974-10-20,80
Célibataire,3,1996-04-11,71
Célibataire,1,1956-07-10,67
Divorcé(e),2,1987-06-29,57
Veuf/Veuve,4,2001-11-23,75
Marié(e),5,1982-04-19,78
Célibataire,1,1966-07-06,62
Marié(e),2,1966-03-18,81
Marié(e),0,1993-01-28,66
Célibataire,0,1998-05-30,76
Célibataire,1,1964-08-20,60
Célibataire,3,1965-08-19,64
Célibataire,0,1982-01-10,70
Célibataire,0,1966-01-26,69
Marié(e),4,1972-11-28,80
Divorcé(e),0,1963-02-09,61
Divorcé(e),4,1986-03-03,60
Marié(e),4,1976-08-29,83
Célibataire,0,1956-03-21,68
Marié(e),5,1972-02-24,80
Marié(e),4,1955-05-09,84
Célibataire,1,2000-03-13,77
Divorcé(e),5,1971-07-29,63
Célibataire,1,1986-10-18,66
Veuf/Veuve,1,2001-02-05,73
Veuf/Veuve,0,1983-02-28,71
Veuf/Veuve,0,2001-08-04,72
Veuf/Veuve,2,1980-10-29,78
Célibataire,0,1984-05-26,67
Célibataire,3,1980-05-29,67
Divorcé(e),5,1994-10-17,58
Veuf/Veuve,2,1993-05-11,73
Célibataire,3,1987-12-06,62
Célibataire,5,1999-01-27,80
Célibataire,3,1994-04-07,78
Célibataire,0,1967-10-29,66
Veuf/Veuve,5,1964-02-03,72
Célibataire,2,1972-10-28,65
Marié(e),4,1991-03-27,65
Marié(e),3,1999-09-28,69
Divorcé(e),5,1990-11-14,60
Veuf/Veuve,5,1991-04-01,77
Divorcé(e),1,1995-10-02,56
Célibataire,2,1998-11-12,77
Marié(e),5,1967-01-15,78
Célibataire,5,1959-09-15,61
Veuf/Veuve,5,1957-05-13,72
Veuf/Veuve,4,1984-04-18,72
Divorcé(e),4,1963-08-10,60
Veuf/Veuve,3,1973-01-29,74
Veuf/Veuve,3,2000-04-02,74
Divorcé(e),4,1956-07-20,60
Veuf/Veuve,0,1989-05-19,77
Divorcé(e),3,1994-09-01,62
Célibataire,0,1970-10-31,68
Divorcé(e),5,1969-09-09,63
Veuf/Veuve,1,1982-12-30,76
Veuf/Veuve,0,1998-12-22,80
Veuf/Veuve,3,1968-12-26,78
Célibataire,3,1978-08-05,67
Veuf/Veuve,4,1986-08-12,74
Divorcé(e),0,1957-06-28,64
Célibataire,1,1987-11-02,65
Célibataire,5,1985-07-31,66
Célibataire,3,1985-12-05,65
Veuf/Veuve,2,1960-01-11,80
Marié(e),1,1976-01-06,85
Divorcé(e),4,1962-08-02,65
Célibataire,2,1965-03-26,65
Marié(e),0,2003-04-08,70
Célibataire,3,1992-11-12,79
Veuf/Veuve,2,1956-10-17,77
Célibataire,2,1988-11-07,69
Veuf/Veuve,2,1963-09-25,77
Célibataire,5,1973-06-09,65
Veuf/Veuve,4,1985-06-05,72
Divorcé(e),2,1994-01-29,58
Veuf/Veuve,5,1961-09-21,78
Marié(e),2,1978-10-02,80
Divorcé(e),4,1991-01-12,58
Célibataire,5,1963-06-19,69
Divorcé(e),2,1960-12-31,64
Veuf/Veuve,3,1973-10-12,75
Célibataire,5,1982-01-16,68
Divorcé(e),3,2003-05-29,60
Marié(e),3,1991-01-21,69
Veuf/Veuve,5,1971-03-02,70
Marié(e),4,1999-10-01,67
Veuf/Veuve,2,2002-10-04,79
Veuf/Veuve,4,1960-05-03,78
Marié(e),2,1996-06-15,67
Marié(e),1,1981-11-26,83
Veuf/Veuve,2,1960-09-29,80
Marié(e),3,1978-11-29,82
Marié(e),2,1976-02-24,83
Marié(e),0,1968-06-01,81
Célibataire,1,1982-10-28,67
Veuf/Veuve,4,1994-02-03,76
Célibataire,1,1969-04-05,64
Marié(e),0,1978-02-23,82
Marié(e),5,1958-10-02,83
Veuf/Veuve,0,1959-12-05,71
Divorcé(e),4,1981-09-12,60
Veuf/Veuve,2,1963-01-25,76
Marié(e),1,1965-01-02,84
Célibataire,4,2002-02-01,74
Veuf/Veuve,0,1976-04-28,79
Célibataire,2,1984-07-04,69
Veuf/Veuve,5,1976-02-18,76
Marié(e),1,1964-07-19,81
Marié(e),2,1994-05-23,71
Divorcé(e),4,1959-12-25,63
Divorcé(e),5,1965-02-05,62
Veuf/Veuve,3,1977-01-24,74
Marié(e),2,1997-08-07,70
Divorcé(e),0,1958-02-01,65
Célibataire,5,1976-06-19,64
Veuf/Veuve,2,1987-07-09,80
Célibataire,4,1976-03-03,67
Veuf/Veuve,0,1990-03-22,74
Divorcé(e),0,1976-02-02,62
Marié(e),1,1994-05-03,75
Divorcé(e),5,1991-06-01,55
Divorcé(e),0,1999-01-28,62
Veuf/Veuve,2,1992-11-09,71
Marié(e),5,1978-05-18,82
Célibataire,2,1992-09-21,79
Divorcé(e),3,1957-06-02,60
Marié(e),5,1994-09-29,73
Marié(e),0,1990-11-28,68
Divorcé(e),2,1962-05-05,60
Marié(e),1,2001-04-16,75
Marié(e),4,1991-10-11,69
Veuf/Veuve,3,1966-12-10,74
Marié(e),5,1984-05-09,67
Marié(e),0,1992-02-25,70
Marié(e),3,1988-10-25,74
Marié(e),0,1957-01-09,84
Marié(e),0,1996-06-13,68
Divorcé(e),5,1970-02-07,60
Veuf/Veuve,4,1993-06-11,79
Divorcé(e),1,1962-12-15,62
Marié(e),4,1965-06-29,79
Veuf/Veuve,3,1999-04-19,71
Marié(e),5,1973-03-10,79
Divorcé(e),2,1999-04-19,61
Marié(e),3,1973-07-02,84
Marié(e),2,1971-12-15,83
Marié(e),3,1968-01-22,80
Divorcé(e),2,1976-02-03,64
Veuf/Veuve,1,1988-02-16,79
Veuf/Veuve,0,1955-11-22,77
Marié(e),2,1990-08-19,75
Marié(e),5,1989-05-15,69
Divorcé(e),0,1963-07-07,64
Célibataire,0,1984-10-29,63
Veuf/Veuve,2,1959-01-18,70
Divorcé(e),4,1989-02-20,59
Veuf/Veuve,5,1988-03-28,72
Célibataire,4,1971-01-21,64
Marié(e),4,1999-03-07,69
Veuf/Veuve,1,1963-01-03,75
Veuf/Veuve,1,1978-04-29,71
Divorcé(e),0,1966-06-09,63
Divorcé(e),5,1987-04-25,61
Divorcé(e),2,1978-08-17,64
Divorcé(e),3,1969-10-07,62
Veuf/Veuve,1,1994-06-09,70
Marié(e),1,1959-11-11,81
Marié(e),0,1997-02-25,69
Marié(e),5,1996-11-15,69
Célibataire,3,1958-08-16,67
Divorcé(e),5,1998-06-30,62
Veuf/Veuve,0,1968-03-31,71
Divorcé(e),0,1973-03-29,62
Marié(e),1,2000-08-09,69
Marié(e),4,1955-05-03,83
Marié(e),3,1961-11-09,81
Veuf/Veuve,5,1963-06-05,75
Célibataire,2,1965-11-28,66
Divorcé(e),4,1964-06-24,62
Marié(e),0,1962-03-28,83
Veuf/Veuve,3,1979-02-16,79
Célibataire,2,1958-11-24,70
Veuf/Veuve,2,1966-07-26,73
Célibataire,5,1980-05-07,65
Célibataire,5,1961-04-23,68
Veuf/Veuve,0,1990-09-30,74
Marié(e),1,1990-10-02,66
Célibataire,1,1969-08-01,66
Veuf/Veuve,2,1968-10-16,71
Divorcé(e),3,1993-10-02,59
Marié(e),2,1963-08-03,82
Marié(e),3,1994-12-05,71
Veuf/Veuve,2,1992-12-02,71
Veuf/Veuve,2,1971-09-07,76
Veuf/Veuve,0,1958-08-05,78
Divorcé(e),3,1975-01-30,65
Marié(e),3,2002-04-08,75
Célibataire,2,1996-12-20,76
Célibataire,3,1981-11-30,62
Marié(e),5,1981-11-30,79
Veuf/Veuve,2,1959-03-31,78
Célibataire,0,2001-01-09,71
Veuf/Veuve,3,1963-06-11,77
Divorcé(e),2,1977-10-30,64
Célibataire,4,1956-06-04,61
Veuf/Veuve,1,1971-04-24,76
Célibataire,0,1992-04-22,74
Divorcé(e),4,1995-10-14,65
Veuf/Veuve,4,1978-09-29,75
Marié(e),1,1971-07-27,80
Divorcé(e),5,1964-07-03,63
Célibataire,0,1990-05-25,71
Célibataire,1,1997-10-08,77
Veuf/Veuve,5,1998-08-18,74
Divorcé(e),5,1990-05-27,59
Célibataire,1,1967-02-01,60
Marié(e),0,1956-05-22,85
Marié(e),0,1973-09-26,83
Marié(e),5,1976-08-27,81
Marié(e),0,1981-12-17,83
Marié(e),3,1992-10-24,65
Célibataire,1,1968-08-21,67
Veuf/Veuve,3,1956-09-22,77
Marié(e),1,1981-06-01,84
Veuf/Veuve,0,1984-11-30,70
Célibataire,5,1993-09-13,76
Veuf/Veuve,5,1981-01-19,70
Veuf/Veuve,3,1998-07-29,78
Veuf/Veuve,1,1960-05-30,78
Célibataire,3,1983-04-20,68
Célibataire,2,1992-05-21,77
Célibataire,3,1986-01-27,67
Veuf/Veuve,0,1969-06-09,74
Marié(e),3,1985-10-24,72
Marié(e),4,1974-09-04,83
Divorcé(e),4,1996-12-28,57
Divorcé(e),5,1989-12-26,61
Divorcé(e),3,1969-07-02,64
Marié(e),2,1962-09-12,85
Veuf/Veuve,1,1970-07-06,73
Marié(e),4,1999-02-13,65
Veuf/Veuve,3,1982-03-17,73
Marié(e),4,1959-03-09,79
Divorcé(e),2,1986-12-30,65
Marié(e),1,2000-02-18,65
Célibataire,2,1993-08-06,71
Marié(e),0,1975-01-26,83
Divorcé(e),2,1986-11-01,55
Divorcé(e),1,2001-03-15,64
Célibataire,5,1959-06-28,67
Veuf/Veuve,0,1964-06-18,79
Célibataire,4,1958-09-24,68
Célibataire,1,1965-07-22,63
Divorcé(e),1,1981-03-04,65
Veuf/Veuve,4,1999-09-05,71
Marié(e),5,1987-08-06,68
Marié(e),0,1973-01-28,83
Veuf/Veuve,0,1976-12-21,77
Divorcé(e),2,2000-04-09,57
Célibataire,2,1988-05-17,66
Divorcé(e),5,1976-12-25,61
Veuf/Veuve,1,1967-05-06,76
Veuf/Veuve,3,1996-02-14,78
Divorcé(e),0,1994-09-02,57
Célibataire,5,2001-05-18,71
Célibataire,2,1983-03-17,66
Marié(e),3,1960-06-24,83
Célibataire,5,1968-07-04,69
Célibataire,5,2001-08-06,74
Veuf/Veuve,3,1982-04-08,75
Divorcé(e),0,1980-01-24,64
Marié(e),5,1991-03-16,70
Marié(e),4,1994-08-19,69
Veuf/Veuve,1,1982-01-06,71
Célibataire,4,1984-12-21,66
Marié(e),4,2003-06-25,68
Marié(e),0,2000-11-13,73
Divorcé(e),4,1985-07-13,65
Marié(e),0,1957-06-19,84
Divorcé(e),1,1982-03-26,65
Veuf/Veuve,4,1964-11-14,70
Divorcé(e),2,2000-06-29,60
Célibataire,0,1966-02-26,67
Divorcé(e),4,1955-06-07,63
Divorcé(e),1,2002-10-22,64
Marié(e),2,1981-10-22,82
Marié(e),5,1988-11-05,71
Marié(e),0,1984-05-17,73
Marié(e),2,1995-09-21,66
Marié(e),5,1993-02-26,69
Célibataire,0,1960-07-17,66
Marié(e),3,1974-03-27,83
Célibataire,2,2002-03-06,76
Veuf/Veuve,2,1999-09-19,80
Veuf/Veuve,3,1998-11-19,76
Marié(e),1,2000-05-04,67
Veuf/Veuve,5,1996-01-11,72
Célibataire,5,1974-01-15,67
Veuf/Veuve,0,1969-01-13,78
Divorcé(e),0,1991-08-16,56
Célibataire,2,1980-12-11,60
Marié(e),0,1988-04-16,69
Divorcé(e),2,1981-05-04,63
Célibataire,1,1967-09-19,69
Veuf/Veuve,0,1982-05-05,74
Marié(e),1,1998-10-25,65
Célibataire,4,1986-03-30,61
Célibataire,3,1998-02-18,79
Divorcé(e),4,1995-07-20,60
Veuf/Veuve,3,1966-11-17,72
Veuf/Veuve,3,1995-04-03,72
Divorcé(e),0,1991-09-18,61
Marié(e),3,1985-05-18,73
Célibataire,5,1994-09-19,74
Célibataire,1,1957-03-10,69
Divorcé(e),4,1966-01-26,65
Célibataire,1,2003-07-29,79
Célibataire,4,2001-10-09,73
Veuf/Veuve,4,1956-08-21,71
Marié(e),0,1979-08-19,81
Marié(e),5,1994-10-26,64
Divorcé(e),3,1959-01-01,63
Célibataire,2,1994-03-04,72
Veuf/Veuve,0,2002-04-29,75
Veuf/Veuve,2,1963-02-17,71
Célibataire,4,1970-01-19,64
Marié(e),1,1977-11-22,80
Marié(e),2,1991-07-03,75
Marié(e),0,1984-02-24,67
Célibataire,5,1960-03-18,64
Veuf/Veuve,0,1983-09-05,72
Veuf/Veuve,2,1978-02-07,76
Célibataire,0,1973-02-19,63
Marié(e),3,2000-08-05,73
Veuf/Veuve,0,1979-02-15,70
Divorcé(e),3,1991-06-27,56
Veuf/Veuve,0,1991-07-10,80
Marié(e),0,1979-02-10,84
Célibataire,1,1966-03-25,64
Veuf/Veuve,3,1962-06-29,80
Marié(e),1,1988-06-15,73
Marié(e),1,2003-03-10,71
Veuf/Veuve,0,1955-01-20,77
Divorcé(e),5,1969-12-24,60
Célibataire,3,1979-06-26,69
Divorcé(e),5,1989-01-25,60
Marié(e),4,2000-09-30,68
Célibataire,1,2002-11-18,79
Célibataire,2,1963-01-05,66
Célibataire,1,1980-01-14,66
Marié(e),4,2000-04-02,69
Divorcé(e),5,1978-05-31,65
Veuf/Veuve,2,1977-01-10,80
Divorcé(e),2,1973-11-10,63
Divorcé(e),0,1966-12-17,65
Célibataire,4,1997-09-18,70
Célibataire,5,1970-07-14,66
Veuf/Veuve,3,2003-03-30,71
Célibataire,4,1957-09-28,70
Veuf/Veuve,5,1966-01-14,75
Veuf/Veuve,4,1987-01-29,76
Marié(e),5,1955-09-21,78
Veuf/Veuve,2,1972-04-11,77
Célibataire,1,1956-09-27,64
Divorcé(e),1,1963-01-14,64
Divorcé(e),5,1974-10-21,61
Veuf/Veuve,2,1958-04-07,74
Veuf/Veuve,5,1973-09-21,70
Marié(e),5,1990-07-01,64
Divorcé(e),4,1999-11-07,62
Marié(e),4,1972-05-07,84
Marié(e),0,1966-06-21,85
Célibataire,1,1978-04-04,69
Marié(e),4,1979-07-30,80
Célibataire,5,2002-10-11,79
Divorcé(e),5,1995-09-09,55
Veuf/Veuve,5,1959-08-14,75
Veuf/Veuve,3,1979-07-20,71
Veuf/Veuve,3,1987-05-24,78
Célibataire,5,1975-02-09,60
Divorcé(e),3,2002-09-24,62
Divorcé(e),0,1990-02-13,58
Divorcé(e),0,1957-03-29,65
Marié(e),5,1992-12-26,64
Marié(e),1,1969-09-20,82
Divorcé(e),0,1963-08-23,60
Veuf/Veuve,3,1957-02-13,79
Divorcé(e),2,1977-02-19,60
Veuf/Veuve,1,1985-07-16,70
Divorcé(e),4,1976-03-15,60
Veuf/Veuve,0,1995-01-07,79
Célibataire,0,1960-05-29,60
Veuf/Veuve,2,1960-10-18,72
Célibataire,3,1959-11-18,64
Veuf/Veuve,0,1964-02-06,80
Célibataire,4,1959-08-25,64
Veuf/Veuve,3,1963-07-25,79
Veuf/Veuve,1,1955-12-01,77
Veuf/Veuve,3,1993-05-16,79
Célibataire,2,1957-04-18,67
Divorcé(e),4,1972-03-26,60
Célibataire,0,1961-01-09,69
Marié(e),4,1966-04-08,84
Divorcé(e),2,1992-09-25,62
Veuf/Veuve,1,1976-10-11,72
Célibataire,0,1966-06-02,64
Veuf/Veuve,4,1987-01-22,74
Marié(e),1,1997-02-01,69
Divorcé(e),2,1988-01-20,55
Marié(e),0,1976-04-05,84
Célibataire,3,1985-10-23,63
Marié(e),5,1973-01-07,78
Divorcé(e),1,1997-08-23,62
Divorcé(e),4,1985-01-28,64
Divorcé(e),3,1984-06-12,57
Célibataire,3,1958-10-01,67
Marié(e),0,1974-12-22,85
Marié(e),3,1974-02-01,81
Veuf/Veuve,5,1984-09-15,76
Marié(e),3,1971-06-30,80
Divorcé(e),0,1961-07-31,62
Célibataire,4,1965-04-19,62
Divorcé(e),3,1972-05-28,65
Divorcé(e),0,1957-08-17,61
Marié(e),2,1970-08-03,81
Divorcé(e),5,1970-08-07,62
Marié(e),1,1972-07-19,80
Marié(e),2,1964-01-16,80
Marié(e),3,1964-12-02,82
Marié(e),2,1995-11-22,68
Divorcé(e),2,1970-05-04,64
Veuf/Veuve,5,1960-10-30,71
Marié(e),1,1971-12-24,81
Veuf/Veuve,5,1988-07-16,75
Veuf/Veuve,5,1976-11-26,70
Marié(e),4,1981-05-10,80
Divorcé(e),1,1959-09-29,65
Divorcé(e),1,2000-07-24,64
Veuf/Veuve,1,1962-04-08,77
Célibataire,1,2000-08-05,76
Divorcé(e),3,2001-07-08,62
Marié(e),2,1988-07-04,73
Veuf/Veuve,5,1999-05-10,77
